START
,Fresh fruit (A-N),,
,"Ice-cream, vanilla",r,0  g,-,-,-,x,
,Kefir,r,0  g,-,-,-,x,
,"Milk, a2",r,0  g,-,-,-,x,
,"Milk, evaporated",r,0  g,-,-,-,x,
,"Milk, full cream, cow",r,0  g,-,-,-,x,
,"Milk, full cream, goat",r,0  g,-,-,-,x,
,"Milk, reduced fat, cow",r,0  g,-,-,-,x,
,"Milk, skim, cow",r,0  g,-,-,-,x,
,"Milk, sweetened, condensed",r,0  g,-,-,-,x,
,"Yoghurt, natural, indian",r,0  g,-,-,-,x,
,"Yoghurt, natural, low fat",r,0  g,-,-,-,x,
,"Yoghurt, natural, regular fat",r,0  g,-,-,-,x,
,"Cheese, haloumi",y,50  g,-,-,-,x,
,Ricotta,y,40  g,-,-,-,x,
,Plant-based dairy alternatives,,
,Mandelmilch,g,Free use,-,-,-,-,
,"Milk, coconut, from can",g,Free use,-,-,-,-,
,"Milk, soy, protein",g,Free use,-,-,-,-,
,"Milk, soya, sweetened",r,0  g,x,x,-,-,
,"Milk, coconut, long life, UHT",y,120  g,x,-,-,-,
,"Milk, hemp",y,240  g,x,-,-,-,
,Hafermilch,y,30  g,x,-,-,-,
,Reismilch,y,200  g,x,-,-,-,
,Soyamilch aus Bohnen,y,40  g,x,-,-,-,
,"Milk, soya, unsweeteened, beans",y,30  g,x,-,-,-,
,"Milk, soya, unsweeteened, hulled beans",y,60  g,x,-,-,-,
,Nuts & Seeds,,
,Macademia,g,Free use,-,-,-,-,
,Erdnuss,g,Free use,-,-,-,-,
,"Seeds, poppy, black",g,Free use,-,-,-,-,
,"Seeds, poppy, white",g,Free use,-,-,-,-,
,Cashews,r,0  g,x,-,-,-,
,Pistazie,r,0  g,x,-,-,-,
,Mandeln,y,12  g,x,-,-,-,
,Chestnuts,y,168  g,x,-,-,-,
,"Chestnuts, roasted",y,84  g,x,-,-,-,
,Haselnuss,y,15  g,x,-,-,-,
,"Nuts, Brazil",y,40  g,x,-,-,-,
,Pecan,y,20  g,x,-,-,-,
,Pinienkerne,y,14  g,x,-,-,-,x
,"Seeds, chia",y,24  g,x,-,-,-,
,"Seeds, chia, black",y,24  g,x,-,-,-,
,"Seeds, chia, white",y,24  g,x,-,-,-,
,"Seeds, egusi",y,24  g,x,-,-,-,
,Kürbiskerne,y,23  g,x,-,-,-,
,Sesam,y,11  g,x,-,-,-,
